epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
116,7530.21,2.12506,1.05449,1.66152,0.65742,0.55294,0.60773,0.27345,2.06879,1.00939,1.52143,0.002341,0.002341,0.002341
117,7581.95,2.16468,1.10752,1.68819,0.61273,0.58824,0.60488,0.26913,2.09782,0.99263,1.53431,0.0022744,0.0022744,0.0022744
118,7634.78,2.13859,1.04649,1.65532,0.61091,0.58372,0.60444,0.2676,2.13215,1.0607,1.54414,0.0022078,0.0022078,0.0022078
119,7687.16,2.12406,1.07441,1.64087,0.59542,0.61639,0.6084,0.26988,2.08061,1.08149,1.53006,0.0021412,0.0021412,0.0021412
120,7739.67,2.13839,1.08526,1.65199,0.64559,0.59059,0.60598,0.27885,2.13766,1.0455,1.56407,0.0020746,0.0020746,0.0020746
121,7791.13,2.14552,1.03435,1.65795,0.66705,0.57647,0.60656,0.27686,2.12782,1.07301,1.55589,0.002008,0.002008,0.002008
122,7842.64,2.16826,1.04213,1.66985,0.67092,0.58824,0.64689,0.29042,2.03992,0.95999,1.51366,0.0019414,0.0019414,0.0019414
123,7894,2.11567,1.04012,1.64403,0.70163,0.57647,0.64228,0.29788,2.00444,0.94041,1.49862,0.0018748,0.0018748,0.0018748
124,7945.1,2.13867,0.99793,1.66326,0.68953,0.57412,0.62695,0.29558,2.04471,0.95952,1.51218,0.0018082,0.0018082,0.0018082
125,7996.74,2.10319,1.04721,1.64219,0.65064,0.57176,0.6195,0.28928,2.06002,0.90576,1.52572,0.0017416,0.0017416,0.0017416
126,8048.12,2.05947,0.97859,1.62074,0.63556,0.56706,0.60485,0.28455,1.98297,0.94205,1.48973,0.001675,0.001675,0.001675
127,8099.34,2.13194,0.98639,1.68296,0.66162,0.58118,0.64064,0.28178,1.99918,0.90591,1.49898,0.0016084,0.0016084,0.0016084
128,8150.56,2.08563,1.01398,1.6267,0.65164,0.61176,0.62463,0.28837,2.01331,0.90219,1.50277,0.0015418,0.0015418,0.0015418
129,8201.96,2.07581,1.04297,1.63423,0.68084,0.58824,0.624,0.28675,1.99023,0.98575,1.4815,0.0014752,0.0014752,0.0014752
130,8253.29,2.08515,0.98916,1.6342,0.66331,0.61647,0.63161,0.29229,1.94963,0.94294,1.47901,0.0014086,0.0014086,0.0014086
131,8304.39,2.09281,0.9594,1.64389,0.67185,0.58118,0.63164,0.28515,1.97712,0.92686,1.49293,0.001342,0.001342,0.001342
132,8368.85,2.06764,1.0018,1.64383,0.65208,0.58588,0.6421,0.28741,1.96436,0.96956,1.48436,0.0012754,0.0012754,0.0012754
133,8433.56,1.9843,0.95184,1.5774,0.65543,0.62118,0.63868,0.29488,1.96285,0.9358,1.47064,0.0012088,0.0012088,0.0012088
134,8500.08,2.08297,0.9898,1.64423,0.69909,0.60941,0.66135,0.30043,1.99911,0.94541,1.49679,0.0011422,0.0011422,0.0011422
135,8570.54,2.01689,0.99007,1.58942,0.64416,0.59294,0.64163,0.29755,2.00109,0.93066,1.50193,0.0010756,0.0010756,0.0010756
136,8635.57,2.02889,0.96632,1.60278,0.65129,0.57882,0.62505,0.29735,2.0206,0.9343,1.48223,0.001009,0.001009,0.001009
